drugbank_id,drug_name,pseudo_label_score,pseudo_label_rank,target_overlap_count,target_overlap_weight,has_lincs_match,is_approved
DB00598,Labetalol,0.22626575710892588,166,1,4.024154714988533,1,1
DB00363,Clozapine,0.22611458552918284,167,1,4.024154714988533,1,1
DB00465,Ketorolac,0.2260048003094804,168,1,3.9439285358482863,1,1
DB00533,Rofecoxib,0.2260048003094804,169,1,3.9439285358482863,1,1
DB00784,Mefenamic acid,0.2260048003094804,170,1,3.9439285358482863,1,1
DB01435,Antipyrine,0.2260048003094804,171,1,3.9439285358482863,1,1
DB00861,Diflunisal,0.22585362872973735,172,1,3.9439285358482863,1,1
DB00909,Zonisamide,0.2258145744889476,173,2,4.289456418716075,1,1
DB01224,Quetiapine,0.22581224236969683,174,1,4.024154714988533,1,1
DB00243,Ranolazine,0.22581224236969683,175,1,4.024154714988533,1,1
DB00457,Prazosin,0.22581224236969683,176,1,4.024154714988533,1,1
DB00490,Buspirone,0.22581224236969683,177,1,4.024154714988533,1,1
DB00433,Prochlorperazine,0.22581224236969683,178,1,4.024154714988533,1,1
DB00450,Droperidol,0.22581224236969683,179,1,4.024154714988533,1,1
DB02772,Sucrose,0.22576256157201785,180,1,5.015019552543457,0,1
DB03175,Propyl alcohol,0.22576256157201785,181,1,5.015019552543457,0,1
DB00814,Meloxicam,0.22570245714999437,182,1,3.9439285358482863,1,1
DB06603,Panobinostat,0.2256991685563114,183,0,0.0,1,1
DB08896,Regorafenib,0.22558514202077523,184,1,4.980482516465038,0,1
DB15822,Pralsetinib,0.22558514202077523,185,1,4.980482516465038,0,1
DB12147,Erdafitinib,0.22558514202077523,186,1,4.980482516465038,0,1
DB14840,Ripretinib,0.22558514202077523,187,1,4.980482516465038,0,1
DB12978,Pexidartinib,0.22558514202077523,188,1,4.980482516465038,0,1
DB04868,Nilotinib,0.2255499721685954,189,1,1.442333228571428,1,1
DB09372,Tannic acid,0.22551500950413933,190,1,4.966830304854997,0,1
DB00939,Meclofenamic acid,0.22524894241076532,191,1,3.9439285358482863,1,1
DB00555,Lamotrigine,0.2252075560507248,192,1,4.024154714988533,1,1
DB00925,Phenoxybenzamine,0.2252075560507248,193,1,4.024154714988533,1,1
DB00800,Fenoldopam,0.2252075560507248,194,1,4.024154714988533,1,1
DB11689,Selumetinib,0.22509448223733936,195,0,0.0,1,1
DB00797,Tolazoline,0.2250563844709818,196,1,4.024154714988533,1,1
DB00132,alpha-Linolenic acid,0.2249465992512793,197,1,3.9439285358482863,1,1
DB03756,Doconexent,0.2249465992512793,198,1,3.9439285358482863,1,1
